question_id,participant_id,time,correct,type,size,layout,domain_question
1,20,10.376,yes                           ,node-linked                   ,small                         ,hier                          ,drinking                      
8,20,19.718,yes                           ,matrix                        ,small                         ,alpha                         ,drinking                      
30,20,17.791,yes                           ,node-linked                   ,large                         ,parallel                      ,drinking                      
16,20,29.574,yes                           ,node-linked                   ,medium                        ,organic                       ,drinking                      
15,20,9.791,yes                           ,node-linked                   ,medium                        ,organic                       ,drinking                      
7,21,6.626,yes                           ,matrix                        ,small                         ,alpha                         ,drinking                      
23,21,12.143,yes                           ,matrix                        ,medium                        ,inDD                          ,gym                           
10,21,20.599,yes                           ,matrix                        ,small                         ,outDD                         ,gym                           
24,21,25.744,yes                           ,matrix                        ,medium                        ,inDD                          ,gym                           
26,21,17.367,yes                           ,node-linked                   ,large                         ,hier                          ,gym                           
36,21,51.301,yes                           ,matrix                        ,large                         ,inDD                          ,drinking                      
5,21,6.873,yes                           ,node-linked                   ,small                         ,parallel                      ,student                       
9,21,6.152,yes                           ,matrix                        ,small                         ,outDD                         ,gym                           
2,21,20.023,yes                           ,node-linked                   ,small                         ,hier                          ,drinking                      
1,21,5.391,yes                           ,node-linked                   ,small                         ,hier                          ,drinking                      
17,21,7.199,yes                           ,node-linked                   ,medium                        ,parallel                      ,gym                           
34,21,34.392,yes                           ,matrix                        ,large                         ,outDD                         ,student                       
30,21,12.34,yes                           ,node-linked                   ,large                         ,parallel                      ,drinking                      
15,21,4.536,yes                           ,node-linked                   ,medium                        ,organic                       ,drinking                      
29,21,119.751,yes                           ,node-linked                   ,large                         ,parallel                      ,drinking                      
31,21,8.745,yes                           ,matrix                        ,large                         ,alpha                         ,gym                           
8,21,14.902,yes                           ,matrix                        ,small                         ,alpha                         ,drinking                      
11,21,5.552,yes                           ,matrix                        ,small                         ,inDD                          ,student                       
16,21,36.229,no                            ,node-linked                   ,medium                        ,organic                       ,drinking                      
28,21,38.106,yes                           ,node-linked                   ,large                         ,organic                       ,student                       
6,21,23.16,yes                           ,node-linked                   ,small                         ,parallel                      ,student                       
19,21,6.535,yes                           ,matrix                        ,medium                        ,alpha                         ,student                       
13,21,7.869,yes                           ,node-linked                   ,medium                        ,hier                          ,student                       
33,21,9.479,yes                           ,matrix                        ,large                         ,outDD                         ,student                       
12,21,19.169,yes                           ,matrix                        ,small                         ,inDD                          ,student                       
27,21,24.328,yes                           ,node-linked                   ,large                         ,organic                       ,student                       
14,21,14.758,yes                           ,node-linked                   ,medium                        ,hier                          ,student                       
20,21,16.527,yes                           ,matrix                        ,medium                        ,alpha                         ,student                       
35,21,16.853,yes                           ,matrix                        ,large                         ,inDD                          ,drinking                      
22,21,25.964,yes                           ,matrix                        ,medium                        ,outDD                         ,drinking                      
21,21,15.333,yes                           ,matrix                        ,medium                        ,outDD                         ,drinking                      
25,21,17.083,yes                           ,node-linked                   ,large                         ,hier                          ,gym                           
32,21,34.208,yes                           ,matrix                        ,large                         ,alpha                         ,gym                           
18,21,41.039,yes                           ,node-linked                   ,medium                        ,parallel                      ,gym                           
4,21,9.127,yes                           ,node-linked                   ,small                         ,organic                       ,gym                           
3,21,11.527,yes                           ,node-linked                   ,small                         ,organic                       ,gym                           
17,22,16.248,yes                           ,node-linked                   ,medium                        ,parallel                      ,gym                           
33,22,12.43,yes                           ,matrix                        ,large                         ,outDD                         ,student                       
20,22,23.14,yes                           ,matrix                        ,medium                        ,alpha                         ,student                       
34,22,37.933,yes                           ,matrix                        ,large                         ,outDD                         ,student                       
36,22,30.498,yes                           ,matrix                        ,large                         ,inDD                          ,drinking                      
10,22,34.239,yes                           ,matrix                        ,small                         ,outDD                         ,gym                           
15,22,11.655,yes                           ,node-linked                   ,medium                        ,organic                       ,drinking                      
19,22,11.255,yes                           ,matrix                        ,medium                        ,alpha                         ,student                       
12,22,10.253,yes                           ,matrix                        ,small                         ,inDD                          ,student                       
11,22,5.433,yes                           ,matrix                        ,small                         ,inDD                          ,student                       
27,22,17.04,yes                           ,node-linked                   ,large                         ,organic                       ,student                       
8,22,14.512,yes                           ,matrix                        ,small                         ,alpha                         ,drinking                      
4,22,10.741,yes                           ,node-linked                   ,small                         ,organic                       ,gym                           
25,22,15.519,yes                           ,node-linked                   ,large                         ,hier                          ,gym                           
3,22,11.73,yes                           ,node-linked                   ,small                         ,organic                       ,gym                           
5,22,11.791,yes                           ,node-linked                   ,small                         ,parallel                      ,student                       
18,22,31.508,yes                           ,node-linked                   ,medium                        ,parallel                      ,gym                           
